type	words_number
discourse marker, indications of continuation across multiple tweets	1565	false
discourse marker, indications of continuation across multiple tweets	393	true
at-mention (indicates a user as a recipient of a tweet)	214962	false
at-mention (indicates a user as a recipient of a tweet)	187817	true
determiner	1325	false
determiner	514	true
common noun	170282	false
common noun	47108	true
pre- or postposition, or subordinating conjunction	3425	false
pre- or postposition, or subordinating conjunction	2139	true
verb including copula, auxiliaries	44209	false
verb including copula, auxiliaries	20724	true
proper noun	236524	false
proper noun	94518	true
URL or email address	76176	false
URL or email address	399	true
punctuation	2954	false
punctuation	70	true
interjection	129788	false
interjection	12095	true
pronoun, non possessive	1786	false
pronoun, non possessive	654	true
adverb	9929	false
adverb	4597	true
coordinating conjunction	262	false
coordinating conjunction	99	true
numeral	14726	false
numeral	1064	true
emoticon	19522	false
emoticon	939	true
other abbreviations, foreign words, possessive endings, symbols, garbage	177369	false
other abbreviations, foreign words, possessive endings, symbols, garbage	44086	true
hashtag (indicates topic/category for tweet)	29057	false
hashtag (indicates topic/category for tweet)	20050	true
adjective	15090	false
adjective	8221	true
proper noun + possessive	2420	false
proper noun + possessive	1913	true
nominal + verbal (e.g. i’m), verbal + nominal (let’s)	1678	false
nominal + verbal (e.g. i’m), verbal + nominal (let’s)	788	true
verb particle	136	false
verb particle	27	true
nominal + possessive	323	false
nominal + possessive	238	true
existential there, predeterminers	49	false
existential there, predeterminers	27	true
X + verbal	8	false
X + verbal	2	true
